po_id,sku_id,supplier_id,po_date,is_weekend_po,quantity_ordered,total_value_inr,expected_delivery_date,actual_delivery_date,delivered_on_time,days_late,quantity_delivered,quality_status,payment_status
PO-000001,SKU-00243,SUP-0027,2024-11-29,0,91,336674.85,2024-12-19,2024-12-20,0,1,87,Accepted,Paid
PO-000002,SKU-00014,SUP-0168,2023-07-16,1,69,132479.4,2023-07-27,2023-07-30,0,3,63,Accepted,Paid
PO-000003,SKU-00485,SUP-0025,2023-09-20,0,4652,27670173.62,2023-10-04,2023-10-03,1,0,4470,Accepted,Paid
PO-000004,SKU-00452,SUP-0034,2024-12-10,0,34,86717.81,2024-12-23,2024-12-24,0,1,31,Accepted,Pending
PO-000005,SKU-00143,SUP-0065,2024-09-30,0,1793,1511810.42,2024-10-16,2024-10-18,0,2,1736,Accepted,Paid
PO-000006,SKU-00019,SUP-0157,2024-05-25,1,238,16470.15,2024-06-09,2024-06-12,0,3,224,Accepted,Paid
PO-000007,SKU-00415,SUP-0034,2024-11-26,0,50,22237.84,2024-12-09,2024-12-09,1,0,46,Accepted,Paid
PO-000008,SKU-00341,SUP-0114,2023-10-09,0,652,7329799.82,2023-10-18,2023-10-18,1,0,648,Accepted,Paid
PO-000009,SKU-00041,SUP-0145,2024-01-07,1,78,113895.82,2024-01-14,2024-01-16,0,2,70,Accepted,Pending
PO-000010,SKU-00382,SUP-0178,2023-02-28,0,1077,327401.66,2023-03-12,2023-03-12,1,0,1044,Accepted,Paid
PO-000011,SKU-00320,SUP-0046,2023-02-12,1,3569,163197574.51,2023-02-21,2023-02-23,0,2,3428,Accepted,Paid
PO-000012,SKU-00057,SUP-0048,2024-04-01,0,107,4423070.14,2024-04-27,2024-04-23,1,0,98,Accepted,Paid
PO-000013,SKU-00016,SUP-0138,2023-07-12,0,141,580728.67,2023-07-16,2023-07-17,0,1,133,Accepted,Pending
PO-000014,SKU-00236,SUP-0125,2024-02-22,0,370,3577.93,2024-03-05,2024-03-03,1,0,336,Accepted,Paid
PO-000015,SKU-00218,SUP-0152,2023-04-29,1,94,732911.31,2023-05-27,2023-06-04,0,8,89,Accepted,Pending
PO-000016,SKU-00222,SUP-0019,2023-12-18,0,1856,79512831.66,2023-12-29,2023-12-28,1,0,1830,Accepted,Pending
PO-000017,SKU-00062,SUP-0037,2024-07-13,1,228,409891.93,2024-08-09,2024-08-14,0,5,210,Accepted,Paid
PO-000018,SKU-00389,SUP-0156,2023-07-20,0,4391,4892702.34,2023-08-09,2023-08-08,1,0,4195,Accepted,Paid
PO-000019,SKU-00070,SUP-0049,2024-12-19,0,45,98681.36,2024-12-28,2024-12-27,1,0,41,Accepted,Paid
PO-000020,SKU-00046,SUP-0133,2024-03-22,0,719,22829.81,2024-04-02,2024-04-03,0,1,653,Accepted,Paid
PO-000021,SKU-00214,SUP-0090,2024-08-28,0,1586,34436.02,2024-09-06,2024-09-05,1,0,1470,Accepted,Pending
PO-000022,SKU-00179,SUP-0048,2024-07-08,0,211,336975.48,2024-08-03,2024-08-02,1,0,199,Accepted,Paid
PO-000023,SKU-00246,SUP-0094,2024-11-20,0,216,1592934.03,2024-12-10,2024-12-12,0,2,203,Accepted,Paid
PO-000024,SKU-00205,SUP-0077,2023-10-29,1,209,151857.74,2023-11-16,2023-11-21,0,5,192,Partially Rejected,Paid
PO-000025,SKU-00237,SUP-0090,2024-09-22,1,65,154682.29,2024-10-01,2024-10-03,0,2,64,Accepted,Paid
PO-000026,SKU-00273,SUP-0047,2023-03-30,0,97,1090.53,2023-04-03,2023-04-03,1,0,95,Accepted,Paid
PO-000027,SKU-00239,SUP-0055,2024-12-14,1,69,31953.16,2025-01-04,2025-01-09,0,5,66,Accepted,Paid
PO-000028,SKU-00257,SUP-0103,2023-12-29,0,13,1165.7,2024-01-16,2024-01-17,0,1,12,Accepted,Pending
PO-000029,SKU-00181,SUP-0116,2023-08-23,0,3798,1977006.1,2023-09-14,2023-09-15,0,1,3524,Accepted,Paid
PO-000030,SKU-00481,SUP-0115,2024-07-18,0,1209,170059.83,2024-07-29,2024-07-28,1,0,1151,Accepted,Paid
PO-000031,SKU-00407,SUP-0107,2024-07-14,1,2060,2873770.53,2024-07-26,2024-07-28,0,2,1956,Accepted,Paid
