supplier_id,month,otif_percentage,avg_lead_time_days,quality_reject_rate_pct,orders_placed,orders_fulfilled_on_time,fill_rate_pct,capacity_utilization_pct,invoices_submitted,invoices_paid_on_time
SUP-0001,2023-01,83.44,62.1,4.37,17,14,93.6,63.8,17,15
SUP-0001,2023-02,85.51,35.3,2.29,14,11,91.0,70.1,14,12
SUP-0001,2023-03,86.15,41.9,6.48,13,11,95.3,61.4,13,10
SUP-0001,2023-04,88.14,34.1,0.74,14,12,92.9,93.0,14,10
SUP-0001,2023-05,87.1,37.4,2.45,17,14,96.5,62.0,17,15
SUP-0001,2023-06,88.88,41.2,7.63,9,7,90.0,69.9,9,6
SUP-0001,2023-07,90.3,39.7,1.36,17,15,94.8,68.3,17,12
SUP-0001,2023-08,91.19,35.7,2.93,16,14,89.0,77.3,16,14
SUP-0001,2023-09,92.31,38.5,1.85,5,4,89.3,92.5,5,4
SUP-0001,2023-10,94.13,43.7,18.02,19,17,94.6,89.0,19,15
SUP-0001,2023-11,95.23,29.0,8.08,13,12,95.2,66.9,13,9
SUP-0001,2023-12,95.06,43.2,10.94,10,9,92.2,64.3,10,9
SUP-0001,2024-01,96.36,39.4,6.74,8,7,94.9,78.1,8,7
SUP-0001,2024-02,96.21,42.2,1.78,14,13,98.9,77.2,14,10
SUP-0001,2024-03,96.91,41.7,5.04,9,8,94.3,72.7,9,7
SUP-0001,2024-04,97.89,48.2,12.2,6,5,90.3,60.6,6,5
SUP-0001,2024-05,98.91,33.3,2.2,16,15,88.4,67.9,16,12
SUP-0001,2024-06,99.85,33.7,9.98,14,13,94.0,65.6,14,10
SUP-0001,2024-07,100.0,26.9,2.25,14,14,95.5,90.8,14,13
SUP-0001,2024-08,100.0,35.3,10.15,7,7,90.9,78.7,7,5
SUP-0001,2024-09,100.0,46.6,3.97,10,10,92.2,77.5,10,9
SUP-0001,2024-10,100.0,40.3,2.12,14,14,88.4,89.0,14,12
SUP-0001,2024-11,100.0,40.4,0.43,11,11,91.0,79.0,11,9
SUP-0001,2024-12,100.0,42.9,0.42,15,15,96.1,87.2,15,11
SUP-0002,2023-01,87.41,9.3,1.01,9,7,93.9,73.8,9,8
SUP-0002,2023-02,88.0,11.9,2.07,6,5,96.9,93.4,6,4
SUP-0002,2023-03,90.71,10.1,1.88,7,6,90.1,78.3,7,6
SUP-0002,2023-04,91.89,7.6,0.5,11,10,96.1,72.5,11,10
SUP-0002,2023-05,94.65,13.0,5.59,9,8,92.5,61.6,9,6
SUP-0002,2023-06,92.71,10.1,3.28,13,12,91.3,95.0,13,12
SUP-0002,2023-07,93.83,12.2,3.77,13,12,94.9,87.8,13,10
SUP-0002,2023-08,90.4,15.9,11.06,13,11,98.9,85.8,13,11
SUP-0002,2023-09,88.04,14.0,0.47,15,13,91.4,65.3,15,13
SUP-0002,2023-10,85.25,6.7,1.74,12,10,96.9,66.0,12,10
SUP-0002,2023-11,83.6,8.5,0.55,16,13,93.0,93.4,16,14
SUP-0002,2023-12,81.0,12.9,0.16,11,8,93.1,63.8,11,9
SUP-0002,2024-01,80.18,16.2,4.09,11,8,92.2,80.8,11,8
SUP-0002,2024-02,80.72,10.1,1.38,14,11,96.1,66.0,14,9
SUP-0002,2024-03,79.35,13.2,2.1,12,9,76.7,73.8,12,8
SUP-0002,2024-04,79.72,10.8,0.7,11,8,83.9,80.8,11,9
SUP-0002,2024-05,79.27,7.8,1.11,14,11,79.8,80.5,14,11
