supplier_id,supplier_name,city,otif_pct,avg_lead_time,quality_reject,fill_rate,capacity_util,payment_compliance,color
SUP-0171,Kottakkal Arya,Jaipur,46.41,44.22,4.83,79.62,92.98,79.16,RED
SUP-0080,ZF India,Nagpur,61.17,22.06,2.5,83.21,85.3,81.11,RED
SUP-0131,Jivika Naturals,Pune,59.73,5.18,2.26,80.25,88.46,79.05,RED
SUP-0172,Arya Vaidya Sala,Hyderabad,90.68,5.28,3.0,93.48,79.37,76.7,AMBER
SUP-0029,ABB Components,Vadodara,79.74,17.22,2.57,85.86,75.47,78.58,RED
SUP-0056,Sresta Natural,Hyderabad,93.63,23.92,2.26,93.15,73.62,78.65,AMBER
SUP-0049,Taru Naturals,Jaipur,52.65,9.1,2.16,77.86,91.25,79.98,RED
SUP-0053,Vaidyaratnam,Vadodara,63.07,32.14,5.45,85.82,85.33,79.17,RED
SUP-0160,Mili Foods,Delhi,76.79,13.27,2.38,83.52,80.83,81.59,RED
SUP-0015,Hira Cement,Indore,59.26,26.02,5.36,80.43,86.85,79.52,RED
SUP-0113,Lakhani Armaan,Indore,72.92,36.83,4.88,85.0,84.07,78.47,RED
SUP-0020,Exide Industries,Bangalore,74.15,34.08,3.93,79.35,76.78,79.96,RED
SUP-0129,Supreme Industries,Indore,80.48,27.76,3.8,87.88,81.02,79.65,AMBER
SUP-0183,Baidyanath,Bangalore,96.46,6.85,1.8,92.88,77.02,77.98,AMBER
SUP-0018,Sundram Fasteners,Vadodara,86.35,30.43,2.1,89.95,77.01,80.43,AMBER
SUP-0017,HCL Materials,Vadodara,87.97,20.75,2.3,93.5,73.76,80.23,AMBER
SUP-0022,Dot & Key Supply,Ludhiana,44.51,25.4,3.44,79.41,91.09,82.58,RED
SUP-0119,Berger Paints Supply,Nagpur,95.98,14.02,2.81,92.77,74.8,81.5,AMBER
SUP-0116,Syska LED,Varanasi,94.29,22.18,2.68,93.3,76.5,80.49,AMBER
SUP-0037,NCL Industries,Jabalpur,92.57,26.14,3.37,92.77,82.41,82.99,AMBER
SUP-0072,Setu Nutrition,Nagpur,82.26,9.44,2.57,88.75,78.72,79.13,AMBER
SUP-0031,Rex Remedies,Ahmedabad,98.75,16.76,2.06,92.94,79.62,82.01,AMBER
SUP-0200,Osram India,Surat,81.5,21.51,6.08,89.13,75.42,77.05,RED
SUP-0057,Vyas Pharmaceuticals,Mumbai,98.61,9.74,2.27,93.07,76.68,76.74,AMBER
SUP-0042,Morarka Organic,Mumbai,88.95,16.36,2.04,93.41,78.76,75.46,AMBER
SUP-0140,Havells India,Ahmedabad,78.24,27.53,5.95,83.35,75.38,81.2,RED
SUP-0090,Ayurvedagram,Bangalore,55.92,9.2,2.3,80.44,90.24,77.75,RED
SUP-0176,NSG India,Pune,64.26,16.54,2.73,81.25,89.5,81.36,RED
SUP-0154,Shalimar Paints,Ludhiana,89.48,8.53,2.04,92.17,79.57,81.25,AMBER
SUP-0024,Infosys Supply Co,Gwalior,80.22,28.77,4.45,86.76,77.05,79.81,AMBER
SUP-0003,Suminter India Organics,Pune,87.63,27.42,6.86,91.87,78.91,80.43,RED
SUP-0014,India Cements,Nagpur,91.93,16.88,1.99,92.79,76.77,79.17,AMBER
SUP-0043,Lumax Industries,Ludhiana,64.22,22.45,5.15,81.02,87.31,78.18,RED
SUP-0038,Varmora Granito,Mumbai,52.46,7.78,3.09,78.64,87.3,79.73,RED
SUP-0118,Oushadhi,Vadodara,82.14,8.32,2.94,89.96,73.35,81.07,AMBER
SUP-0033,Godrej Materials,Ludhiana,84.42,22.82,4.87,92.38,77.23,79.16,AMBER
SUP-0184,Patanjali Supply,Surat,68.22,7.42,2.58,87.43,86.12,77.73,RED
SUP-0108,Aranyaani,Delhi,83.63,5.55,1.98,87.62,79.81,80.89,AMBER
SUP-0150,Kerala Ayurveda,Raipur,53.29,21.19,2.22,77.12,87.74,77.48,RED
SUP-0178,Sahaja Samrudha,Delhi,97.5,11.82,2.79,93.68,72.98,79.8,AMBER
SUP-0068,Siemens India,Gwalior,78.4,14.02,2.54,81.95,75.9,78.98,RED
SUP-0010,Mangalam Cement,Hyderabad,80.76,15.35,2.63,88.53,81.93,76.63,AMBER
SUP-0002,Schaeffler India,Jodhpur,84.2,10.75,2.68,90.79,78.49,79.57,AMBER
